source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,280,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,insert,insertAuthUsrAply,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,368,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,insert,insertAuthUsrProc,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,432,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,insert,insertAuthUsrRevoke,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,496,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,insert,insertAuthUsrGrant,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,586,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,select,selectLatestProcStatusCd,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,615,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,update,updateAuthUsrReturnRsn,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,649,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,insert,insertApovUsr,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,710,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,select,countLatestAplyAuthUsr,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,741,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,select,selectMyInfoAuth,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,782,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,select,selectLoginAuthUsrInfo,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authUsrMapper.xml,896,arisuinfo.cm.auth.auth.mapper.AuthUsrMapper,select,selectAuthApovList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/menu/menuMngMapper.xml,9,arisuinfo.cm.auth.menu.mapper.MenuMapper,select,selectMenuTreeList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/menu/menuMngMapper.xml,51,arisuinfo.cm.auth.menu.mapper.MenuMapper,select,selectSiteMapMenuList,NOT_VERIFIED
