source,title,route_references,status
src/main/nexacro/form/cm/bsis/cmCmCdMngF.xfdl,공통코드관리,svc::/cm/bsis/modifyCmCd.do | svc::/cm/bsis/modifyCmCdDtal.do | svc::/cm/bsis/modifyCmCdDtalLwr.do | svc::/cm/bsis/registCmCd.do | svc::/cm/bsis/registCmCdDtal.do | svc::/cm/bsis/registCmCdDtalLwr.do | svc::/cm/bsis/removeCmCd.do | svc::/cm/bsis/removeCmCdDtal.do | svc::/cm/bsis/searchCmCd.do | svc::/cm/bsis/searchCmCdDtal.do | svc::/cm/bsis/searchCmCdDtalLwr.do | svc::/cm/bsis/searchCmCdExcel.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmCsCdMngF.xfdl,업태/수계정보 코드 관리,svc::/cm/bsis/modifyCsCdMng.do | svc::/cm/bsis/registCsCdMng.do | svc::/cm/bsis/removeCsCdMng.do | svc::/cm/bsis/searchCsCdMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmExpansGuidP.xfdl,확대보기안내,,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmHelpMngDetailP.xfdl,도움말 관리_상세,svc::/cm/hp/insertHpGuide.do | svc::/cm/hp/selectHpGuideDetail.do | svc::/cm/hp/updateHpGuide.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmHelpMngF.xfdl,도움말 관리,svc::/cm/hp/selectHpGuideList.do | svc::/cm/menu/selectMenuTreeList.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmHgyeSmokArvMngF.xfdl,세목/세입 코드 관리,svc::/cm/bsis/modifyHgyeArvMng.do | svc::/cm/bsis/modifyHgyeSmokMng.do | svc::/cm/bsis/registAllHgyeArvMng.do | svc::/cm/bsis/registAllHgyeSmokMng.do | svc::/cm/bsis/registHgyeArvMng.do | svc::/cm/bsis/registHgyeSmokMng.do | svc::/cm/bsis/removeHgyeArvMng.do | svc::/cm/bsis/removeHgyeSmokMng.do | svc::/cm/bsis/searchHgyeArvMng.do | svc::/cm/bsis/searchHgyeSmokArvYear.do | svc::/cm/bsis/searchHgyeSmokMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmHolidayMngF.xfdl,공휴일관리,svc::/cm/bsis/modifyHldyMng.do | svc::/cm/bsis/registHldyMng.do | svc::/cm/bsis/registYearHldyMng.do | svc::/cm/bsis/removeHldyMng.do | svc::/cm/bsis/searchHldyMng.do | svc::/cm/bsis/searchYearMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmInsttCdMngF.xfdl,연계 기관 관리,svc::/cm/bsis/modifyInsttCdMng.do | svc::/cm/bsis/registInsttCdMng.do | svc::/cm/bsis/removeInsttCdMng.do | svc::/cm/bsis/searchInsttCdMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmInsttP.xfdl,연계기관조회팝업,svc::/cm/bsis/searchInsttCdMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmOfficeMngF.xfdl,사업소지역관리,svc::/cm/bsis/modifyDeptCd.do | svc::/cm/bsis/modifyDongCd.do | svc::/cm/bsis/modifyGuCd.do | svc::/cm/bsis/modifyOffMng.do | svc::/cm/bsis/modifyTel.do | svc::/cm/bsis/registDeptCd.do | svc::/cm/bsis/registDongCd.do | svc::/cm/bsis/registGuCd.do | svc::/cm/bsis/registOffMng.do | svc::/cm/bsis/registTel.do | svc::/cm/bsis/removeDeptCd.do | svc::/cm/bsis/removeOffMng.do | svc::/cm/bsis/removeTel.do | svc::/cm/bsis/searchCityCd.do | svc::/cm/bsis/searchDeptCd.do | svc::/cm/bsis/searchDongCd.do | svc::/cm/bsis/searchGuCd.do | svc::/cm/bsis/searchGuDongCdExcel.do | svc::/cm/bsis/searchOffMng.do | svc::/cm/bsis/searchTel.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmPrintCnMngF.xfdl,보고서 출력 내용 관리,svc::/cm/bsis/registPrintCnMng.do | svc::/cm/bsis/removePrintCnMng.do | svc::/cm/bsis/searchPrintCnDeatilMng.do | svc::/cm/bsis/searchPrintCnListMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmPrmtMngF.xfdl,파라미터관리,svc::/cm/bsis/modifyPrmtMng.do | svc::/cm/bsis/registPrmtMng.do | svc::/cm/bsis/removePrmtMng.do | svc::/cm/bsis/searchPrmtMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmWorkDayDetailP.xfdl,정기 작업 일정 상세,svc::/cm/bsis/searchWorkDetailInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmWorkDayMngF.xfdl,정기 작업 일정 관리,svc::/cm/bsis/modifyWorkDayMng.do | svc::/cm/bsis/registWorkDayMng.do | svc::/cm/bsis/removeWorkDayMng.do | svc::/cm/bsis/searchDefaultDate.do | svc::/cm/bsis/searchWorkDayMng.do | svc::/cm/bsis/searchYearList.do,NOT_VERIFIED
